Neighbourhood Cleansed;Neighbourhood Group Cleansed;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Amenities;Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Maximum Nights;Availability 30;Availability 60;Availability 90;Availability 365;Number of Reviews;First Review;Last Review;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;Cancellation Policy;Reviews per Month
Justicia;Centro;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;Internet,Wireless Internet,Kitchen,Pets live on this property,Cat(s),Elevator in building,Buzzer/wireless intercom,Heating,Suitable for events,Washer,Essentials,Shampoo;34.0;80.0;;2;0;2;120;8;9;9;84;108;2012-07-28;2017-03-05;93.0;10.0;10.0;10.0;9.0;10.0;10.0;moderate;1.89
Universidad;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Heating,Family/kid friendly,Washer,First aid kit,Fire extinguisher,Essentials,Lock on bedroom door,Hangers,Hair dryer,Iron;40.0;;20.0;1;0;1;20;1;12;34;308;31;2016-08-07;2017-04-04;82.0;8.0;9.0;9.0;10.0;9.0;9.0;strict;3.8
Universidad;Centro;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;Wireless Internet,Air conditioning,Kitchen,Heating,Washer,Essentials,Shampoo,Hangers,Hair dryer,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;56.0;;14.0;1;9;1;1125;0;0;0;0;9;2016-06-07;2016-09-19;100.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;0.88
Recoletos;Salamanca;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,translation missing: en.hosting_amenity_49;58.0;100.0;;1;0;2;1125;4;9;9;15;52;2015-03-02;2017-02-12;96.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;2.03
Lista;Salamanca;House;Private room;1;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Washer,First aid kit,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Private living room;29.0;100.0;;1;0;7;30;30;60;90;91;1;2017-03-06;2017-03-06;100.0;10.0;10.0;6.0;10.0;10.0;8.0;flexible;0.88
Sol;Centro;Apartment;Entire home/apt;4;1.0;0.0;2.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Smoke detector,Safety card,Fire extinguisher,Essentials,Hangers,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;75.0;200.0;22.0;1;0;2;1125;10;34;64;64;43;2015-07-12;2016-09-09;87.0;9.0;9.0;8.0;9.0;10.0;9.0;strict;2.03
Los Rosales;Villaverde;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Smoking allowed,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace;16.0;;;1;0;2;1125;13;42;66;338;18;2016-09-24;2017-04-03;99.0;10.0;10.0;10.0;10.0;9.0;10.0;moderate;2.74
Argüelles;Moncloa - Aravaca;House;Entire home/apt;6;2.0;3.0;3.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Safety card,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;180.0;250.0;;2;20;3;90;16;31;56;331;14;2015-10-06;2017-03-01;96.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;0.76
Lista;Salamanca;Condominium;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Cable TV,Wireless Internet,Wheelchair accessible,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;60.0;;20.0;1;0;1;2;10;23;39;39;9;2016-09-18;2017-03-19;98.0;10.0;10.0;10.0;10.0;10.0;9.0;flexible;1.33
Puerta del Angel;Latina;Condominium;Entire home/apt;2;1.0;0.0;1.0;Real Bed;Kitchen,Heating,Family/kid friendly,Washer,Essentials;30.0;100.0;60.0;2;5;1;1125;0;0;6;281;0;;;;;;;;;;moderate;
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;100.0;;;1;0;2;200;4;19;22;31;50;2014-12-09;2017-04-02;98.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;1.76
Hispanoamérica;Chamartín;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;Air conditioning,Wheelchair accessible,Kitchen,Free parking on premises,Smoking allowed,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers;48.0;200.0;45.0;1;0;1;1125;10;29;59;334;3;2017-03-20;2017-03-31;93.0;9.0;9.0;10.0;10.0;8.0;10.0;moderate;3.0
Embajadores;Centro;Apartment;Private room;2;2.0;1.0;1.0;Real Bed;Wireless Internet,Kitchen,Smoking allowed,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Lock on bedroom door,Hangers,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;23.0;;15.0;1;5;10;1125;0;0;6;281;0;;;;;;;;;;strict;
Opañel;Carabanchel;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Breakfast,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50;25.0;;5.0;1;0;2;15;20;50;80;81;12;2016-10-03;2017-04-03;93.0;10.0;10.0;10.0;10.0;8.0;10.0;moderate;1.91
Palos de Moguer;Arganzuela;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Breakfast,Heating,Family/kid friendly,Suitable for events,Washer,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Laptop friendly workspace;110.0;;;1;0;1;1125;18;48;78;78;2;2016-01-03;2016-03-30;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;0.13
Goya;Salamanca;Apartment;Entire home/apt;4;2.0;2.0;3.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,First aid kit,Safety card,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private entrance;180.0;;77.0;2;17;3;1125;9;24;31;216;4;2015-12-06;2016-10-01;100.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;0.24
Argüelles;Moncloa - Aravaca;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Cable TV,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Doorman,Elevator in building,Family/kid friendly,Washer,Dryer,Hair dryer;85.0;;30.0;2;15;1;1125;0;30;60;238;0;;;;;;;;;;strict;
Guindalera;Salamanca;Apartment;Entire home/apt;6;1.5;3.0;4.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Pool,Kitchen,Pets allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Safety card,Essentials,Shampoo;140.0;;;1;0;4;1125;0;9;11;286;4;2015-07-07;2017-01-13;100.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;0.19
Cortes;Centro;Apartment;Private room;5;1.0;1.0;4.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer;20.0;;12.0;1;15;3;730;8;38;68;343;30;2012-09-18;2016-06-28;73.0;7.0;7.0;9.0;8.0;10.0;8.0;moderate;0.54
Justicia;Centro;Apartment;Entire home/apt;4;2.0;2.0;4.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Shampoo,24-hour check-in,Hangers,Iron,Laptop friendly workspace;140.0;;35.0;1;0;2;1125;11;33;57;57;34;2016-02-29;2017-04-02;99.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;2.52
Sol;Centro;Apartment;Private room;1;3.0;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Elevator in building,Heating,Washer,Dryer,Lock on bedroom door,Hangers,Laptop friendly workspace,translation missing: en.hosting_amenity_49;28.0;200.0;30.0;1;0;7;1125;0;6;36;311;0;;;;;;;;;;strict;
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;0.0;2.0;Real Bed;TV,Wireless Internet,Kitchen,Buzzer/wireless intercom,Heating,Washer,Essentials,Hangers;45.0;150.0;70.0;2;5;90;1125;0;5;35;310;2;2016-03-07;2016-10-11;;;;;;;;moderate;0.15
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;55.0;150.0;30.0;2;12;2;1125;10;35;58;318;65;2015-09-02;2017-04-02;90.0;9.0;9.0;10.0;10.0;9.0;9.0;strict;3.33
Embajadores;Centro;Apartment;Entire home/apt;6;1.0;2.0;4.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace;120.0;200.0;70.0;3;10;2;1125;13;27;54;315;1;2016-04-16;2016-04-16;80.0;10.0;10.0;8.0;10.0;8.0;8.0;strict;0.08
Lucero;Latina;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;Internet,Wireless Internet,Kitchen,Elevator in building,Heating,Washer,Essentials,Shampoo,Hair dryer,Iron;24.0;;5.0;1;6;1;1125;30;60;90;90;15;2016-02-23;2016-07-03;92.0;9.0;8.0;9.0;9.0;8.0;9.0;strict;1.09
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer;53.0;100.0;;1;20;5;365;0;0;4;279;24;2013-03-04;2014-09-12;96.0;9.0;10.0;10.0;10.0;10.0;9.0;strict;0.48
Pacífico;Retiro;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;Wireless Internet,Wheelchair accessible,Kitchen,Smoking allowed,Pets allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Dryer,First aid kit,Essentials,24-hour check-in,Hangers;25.0;;;1;10;1;1125;29;59;89;364;10;2015-05-15;2017-03-04;69.0;8.0;7.0;9.0;8.0;8.0;7.0;flexible;0.43
Palacio;Centro;Apartment;Entire home/apt;10;2.0;4.0;6.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Suitable for events,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;71.0;250.0;60.0;3;18;2;1125;7;16;25;263;41;2016-10-03;2017-04-03;96.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;6.54
Vista Alegre;Carabanchel;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;Wireless Internet,Kitchen,Elevator in building,Heating,Washer,Essentials,Shampoo,Hangers,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;19.0;;;1;0;1;1125;7;37;67;342;1;2017-02-28;2017-02-28;100.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;0.75
Salvador;San Blas - Canillejas;House;Private room;2;1.0;1.0;2.0;Real Bed;TV,Wireless Internet,Air conditioning,Hot tub,Heating,Smoke detector,First aid kit,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50;18.0;100.0;8.0;1;13;1;1125;21;51;81;356;12;2016-11-20;2017-03-27;93.0;9.0;10.0;10.0;10.0;10.0;10.0;moderate;2.57
Casco Histórico de Vallecas;Villa de Vallecas;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Air conditioning,Wheelchair accessible,Kitchen,Family/kid friendly,Washer,First aid kit,Fire extinguisher,Essentials,Shampoo,translation missing: en.hosting_amenity_49;60.0;;;1;0;2;1125;28;58;88;178;4;2016-10-06;2017-01-02;50.0;3.0;8.0;6.0;8.0;5.0;5.0;flexible;0.65
Campamento;Latina;Loft;Entire home/apt;4;1.5;3.0;3.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Hangers,Hair dryer,Iron,Laptop friendly workspace;79.0;;50.0;1;0;30;1125;29;59;89;364;0;;;;;;;;;;moderate;
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Hangers,Hair dryer,Iron;50.0;150.0;25.0;2;15;2;90;12;31;48;318;142;2011-06-15;2017-03-26;80.0;8.0;9.0;9.0;9.0;9.0;8.0;moderate;2.0
Embajadores;Centro;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Breakfast,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron;28.0;;;1;12;1;10;16;46;76;351;7;2017-03-11;2017-04-02;91.0;9.0;9.0;9.0;10.0;10.0;9.0;moderate;7.0
Embajadores;Centro;Apartment;Entire home/apt;6;1.0;1.0;2.0;Real Bed;TV,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;80.0;100.0;30.0;4;30;2;1125;9;18;33;158;15;2016-09-23;2017-03-19;96.0;10.0;10.0;10.0;10.0;9.0;9.0;moderate;2.27
Trafalgar;Chamberí;Apartment;Entire home/apt;8;1.0;3.0;4.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo;92.0;;13.0;6;20;1;1125;3;8;18;39;73;2016-07-10;2017-03-17;92.0;9.0;10.0;10.0;10.0;10.0;9.0;moderate;8.02
Berruguete;Tetuán;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,Hangers,Hair dryer,Iron;90.0;;;1;0;2;1125;7;19;41;296;0;;;;;;;;;;flexible;
Portazgo;Puente de Vallecas;House;Private room;1;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Buzzer/wireless intercom,Heating,Washer,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;20.0;;;1;10;5;1125;23;53;83;358;3;2015-10-15;2016-12-09;93.0;10.0;9.0;10.0;10.0;9.0;9.0;flexible;0.17
Universidad;Centro;Apartment;Private room;2;1.0;1.0;2.0;Real Bed;Internet,Wireless Internet,Kitchen,Smoking allowed,Pets live on this property,Cat(s),Elevator in building,Family/kid friendly,Washer,Dryer,Essentials,Shampoo;25.0;100.0;10.0;1;10;3;60;28;51;60;335;11;2014-08-06;2017-01-02;78.0;8.0;8.0;10.0;9.0;10.0;9.0;strict;0.34
Palacio;Centro;Apartment;Entire home/apt;4;1.5;2.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Elevator in building,Hot tub,Buzzer/wireless intercom,Heating,Washer,Dryer,Smoke detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49;110.0;300.0;30.0;2;20;6;10;0;1;26;26;44;2014-12-31;2016-10-13;98.0;10.0;10.0;10.0;10.0;10.0;9.0;strict;1.59
Palacio;Centro;Other;Entire home/apt;2;1.0;0.0;1.0;Real Bed;Wireless Internet,Kitchen,Elevator in building,Essentials,Shampoo,Hangers,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;60.0;120.0;10.0;1;0;2;30;10;40;70;70;10;2016-12-05;2017-03-26;82.0;9.0;10.0;10.0;10.0;10.0;9.0;strict;2.4
Embajadores;Centro;Condominium;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Wireless Internet,Kitchen,Heating,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;47.0;;;2;10;2;1125;3;9;24;264;28;2016-09-30;2017-03-23;95.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;4.4
Prosperidad;Chamartín;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;Wireless Internet,Kitchen,Elevator in building,Heating,Washer,Essentials,Hangers,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49;23.0;;15.0;2;15;1;5;8;8;15;15;1;2017-04-05;2017-04-05;100.0;10.0;10.0;10.0;10.0;8.0;10.0;flexible;1.0
Pacífico;Retiro;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Breakfast,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;23.0;100.0;;1;0;2;1125;2;2;2;221;22;2016-06-03;2017-03-28;85.0;9.0;8.0;9.0;9.0;9.0;8.0;flexible;2.13
Guindalera;Salamanca;Apartment;Private room;4;1.0;1.0;4.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Heating,Washer,Essentials,Shampoo,Hangers,Iron,Laptop friendly workspace;19.0;;;1;18;1;1125;7;37;67;342;8;2015-10-31;2017-01-01;78.0;8.0;8.0;9.0;9.0;8.0;8.0;strict;0.46
Embajadores;Centro;Apartment;Entire home/apt;13;2.0;4.0;8.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Heating,Family/kid friendly,Washer,Essentials,24-hour check-in,Hangers,Laptop friendly workspace;145.0;150.0;40.0;7;20;1;1125;9;24;42;277;38;2016-04-24;2017-03-08;92.0;9.0;10.0;10.0;10.0;10.0;9.0;strict;3.26
Aluche;Latina;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Heating,Family/kid friendly,Washer,Dryer,Essentials,24-hour check-in,Hangers,Hair dryer,Iron;17.0;200.0;20.0;1;5;3;1125;18;48;78;353;9;2016-08-17;2017-03-02;91.0;10.0;10.0;10.0;9.0;9.0;9.0;flexible;1.15
La Paz;Fuencarral - El Pardo;Apartment;Entire home/apt;5;2.0;3.0;3.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,Safety card,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;90.0;;;1;0;2;5;0;2;4;8;3;2017-03-25;2017-04-02;100.0;10.0;10.0;10.0;10.0;9.0;10.0;flexible;3.0
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;Wireless Internet,Kitchen,Breakfast,Heating,Washer,First aid kit,Essentials,Shampoo,Hangers,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;85.0;;;1;0;2;4;23;53;83;83;0;;;;;;;;;;flexible;
Universidad;Centro;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Dryer,Essentials,24-hour check-in,Hangers,Iron,Laptop friendly workspace;48.0;;;1;20;1;180;0;0;14;289;23;2016-08-01;2017-03-14;94.0;10.0;9.0;10.0;10.0;10.0;9.0;strict;2.75
Puerta del Angel;Latina;Apartment;Entire home/apt;3;2.0;1.0;3.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Pool,Kitchen,Doorman,Gym,Elevator in building,Hot tub,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Shampoo,translation missing: en.hosting_amenity_50;90.0;;;3;0;5;1125;0;0;0;188;12;2015-05-04;2016-10-21;95.0;10.0;10.0;10.0;9.0;10.0;10.0;moderate;0.51
Universidad;Centro;Apartment;Entire home/apt;6;2.5;2.0;5.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Hot tub,Indoor fireplace,Heating,Washer,Dryer,First aid kit,Fire extinguisher,Essentials,Shampoo,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;130.0;300.0;50.0;4;25;1;365;7;18;27;232;55;2014-09-29;2017-03-10;89.0;10.0;10.0;9.0;9.0;10.0;9.0;strict;1.79
Lucero;Latina;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;Wireless Internet,Kitchen,Free parking on premises,Family/kid friendly,Washer,Essentials,Hangers,Iron,Laptop friendly workspace;17.0;;5.0;1;11;2;9;0;0;1;1;0;;;;;;;;;;flexible;
Casa de Campo;Moncloa - Aravaca;Apartment;Entire home/apt;3;1.0;2.0;2.0;Real Bed;TV,Wireless Internet,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;99.0;;20.0;1;0;2;1125;26;56;86;361;1;2016-03-01;2016-03-01;100.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;0.07
Cortes;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Washer,Essentials,Shampoo,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;85.0;96.0;;1;0;2;1125;11;27;50;141;66;2013-12-09;2017-04-02;97.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;1.63
Casco Histórico de Barajas;Barajas;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;Wireless Internet,Kitchen,Heating,Family/kid friendly,Essentials,translation missing: en.hosting_amenity_50;23.0;;;1;0;1;1125;2;6;36;311;2;2016-11-03;2017-01-06;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;0.38
Sol;Centro;Apartment;Entire home/apt;7;2.0;2.0;4.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Hot tub,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo;300.0;200.0;45.0;4;30;2;30;5;12;26;293;19;2014-07-24;2016-10-09;100.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;0.58
Abrantes;Carabanchel;House;Private room;2;1.0;1.0;1.0;Real Bed;Kitchen,Breakfast,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Laptop friendly workspace;70.0;;;1;0;1;1125;30;60;90;365;0;;;;;;;;;;flexible;
Lista;Salamanca;Apartment;Private room;6;3.0;1.0;8.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Wheelchair accessible,Kitchen,Free parking on premises,Gym,Breakfast,Pets live on this property,Dog(s),Cat(s),Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50;230.0;;;1;0;1;1125;0;0;0;0;0;;;;;;;;;;flexible;
Universidad;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private entrance;98.0;;77.0;2;17;3;1125;5;16;31;178;1;2016-07-10;2016-07-10;100.0;10.0;10.0;10.0;10.0;10.0;8.0;strict;0.11
Sol;Centro;Other;Entire home/apt;6;1.0;2.0;4.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Breakfast,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,Crib;95.0;200.0;25.0;2;15;2;60;4;20;40;78;35;2016-09-07;2017-04-02;97.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;4.91
Goya;Salamanca;Apartment;Entire home/apt;5;1.0;2.0;4.0;Real Bed;Wireless Internet,Kitchen,Doorman,Elevator in building,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer;80.0;;20.0;1;0;2;1125;0;1;5;113;10;2015-11-02;2017-03-19;94.0;9.0;10.0;10.0;10.0;10.0;10.0;moderate;0.57
Arapiles;Chamberí;Apartment;Entire home/apt;4;1.0;3.0;4.0;Real Bed;Wireless Internet,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Hangers,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50;147.0;;60.0;1;0;3;1125;0;0;0;3;0;;;;;;;;;;strict;
Guindalera;Salamanca;Apartment;Entire home/apt;5;1.0;2.0;3.0;Real Bed;TV,Wireless Internet,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Smoke detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;70.0;100.0;;2;10;3;30;3;12;28;223;0;;;;;;;;;;flexible;
Universidad;Centro;Bed & Breakfast;Private room;2;5.0;1.0;2.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Breakfast,Heating,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hair dryer,Iron;45.0;;;1;0;1;1125;21;50;74;345;1;2017-01-14;2017-01-14;80.0;10.0;10.0;10.0;10.0;8.0;6.0;flexible;0.35
Universidad;Centro;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;Wireless Internet,Kitchen,Smoking allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Iron,translation missing: en.hosting_amenity_50;65.0;;;2;10;3;1125;0;0;0;220;1;2016-09-01;2016-09-01;100.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;0.14
